accuracy,f1,model,top_k_vocab,use_vocab
0.39710144927536234,0.17981072555205044,baseline cosine,,
0.56,0.5563997662185856,infersent,1000.0,False
0.5942028985507246,0.5981630309988519,infersent,10000.0,False
0.6272463768115942,0.6449475427940364,infersent,50000.0,False
0.6307246376811594,0.6494221243808476,infersent,100000.0,False
0.6336231884057971,0.6557734204793028,infersent,500000.0,False
0.6330434782608696,0.6565382528486162,infersent,,True
